time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1559005200,Clear,clear-day,0.0001614987080103,0.01,0.7311000452693526,0.792018886604219,68.67,0.59,0.4793261868300167,0.4813186813186814,0.3890895267059494,0.4456824512534819,0.11,0.0,1.0,rain,0.3523131672597864,0.008611082970317,dallas,12399.0,1,1,5,Spring,1
1559008800,Clear,clear-night,0.0012919896640826,0.01,0.7099139882299682,0.7694768106008681,68.11,0.63,0.4808575803981636,0.4446886446886447,0.4149401254514351,0.4401114206128134,0.09,0.0,1.0,rain,0.3491103202846976,0.008611082970317,dallas,11636.0,2,1,5,Spring,1
1559012400,Clear,clear-night,0.0003229974160206,0.01,0.6909913988229969,0.7505902063818445,68.06,0.67,0.4823889739663087,0.3875457875457875,0.4157004371792435,0.4401114206128134,0.09,0.0,1.0,rain,0.3459074733096084,0.008611082970317,dallas,11141.0,3,1,5,Spring,1
1559016000,Clear,clear-night,0.0002422480620155,0.01,0.680488909008601,0.7286573756758814,68.09,0.7,0.4823889739663087,0.3926739926739927,0.4061965405816385,0.4484679665738161,0.14,0.0,1.0,rain,0.3427046263345196,0.008611082970317,dallas,10860.0,4,1,5,Spring,1
1559019600,Clear,clear-night,0.0,0.0,0.6710728836577636,0.7210418094585331,68.33,0.73,0.4793261868300167,0.410989010989011,0.4683520243299753,0.4540389972144847,0.05,0.0,1.0,No Precipitation,0.3391459074733097,0.008611082970317,dallas,10856.0,5,1,5,Spring,1
1559023200,Clear,clear-night,0.0,0.0,0.6641919420552286,0.7155586017820424,68.63,0.76,0.4762633996937211,0.4113553113553114,0.490401064436419,0.4651810584958217,0.03,0.0,1.0,No Precipitation,0.3501779359430604,0.008611082970317,dallas,11273.0,6,1,5,Spring,1
1559026800,Clear,clear-night,0.0007267441860465,0.01,0.6556813037573562,0.7086284365242556,68.71,0.78,0.4701378254211334,0.4450549450549451,0.530127352214408,0.4707520891364902,0.02,0.0,1.0,rain,0.3491103202846976,0.008611082970317,dallas,12171.0,7,1,5,Spring,1
1559030400,Clear,clear-night,0.0004037467700258,0.01,0.6448166591217744,0.7000228466986521,68.96,0.82,0.4640122511485458,0.4937728937728938,0.5860102642083255,0.4763231197771588,0.01,0.0,1.0,rain,0.3455516014234877,0.008611082970317,dallas,12784.0,8,1,5,Spring,1
1559034000,Clear,clear-night,0.0011304909560723,0.01,0.6289723856948845,0.6870002284669865,68.84,0.87,0.460949464012252,0.4571428571428572,0.5736551986314389,0.4707520891364902,0.0,0.0,1.0,rain,0.3409252669039145,0.008611082970317,dallas,13211.0,9,1,5,Spring,6
1559037600,Clear,clear-night,0.0,0.0,0.6189225894069714,0.6789277282765973,68.88,0.9,0.4655436447166945,0.4512820512820513,0.5538870937084205,0.4707520891364902,0.12,0.0,1.0,No Precipitation,0.3345195729537366,0.008611082970317,dallas,13880.0,10,1,5,Spring,6
